,id,created_at,tweets,retweet_count,favorite_count,followers_count
0,1233123334184996873,2020-02-27 20:14:47,@lukestokes 🦄🎩🙏🏼,0,5,63598
1,1233123303897862150,2020-02-27 20:14:40,RT @lukestokes: I just got these in yesterday after a journey that started by meeting Lucas of aglowgeo at last year’s Burning Man. It’s an…,1,0,63598
2,1232553364933795841,2020-02-26 06:29:56,@KeyDinnerClub Look forward to seeing you again in Puerto Rico.,0,1,63598
3,1232552696948895744,2020-02-26 06:27:17,"RT @AlyzeSam: This happened at our dinner. How fun to see it on film. Nice job, @ky_primo  
Thank you for the conversation and sharing this…",6,0,63598
4,1232417759142776834,2020-02-25 21:31:05,"Who is in 🇵🇷 Puerto Rico 🇵🇷 April 4th? 

I’ll be speaking at 

👉https://t.co/vwQc3Rc07y 👈 https://t.co/LOvjJeDPjA",7,38,63598
5,1232296785705656321,2020-02-25 13:30:23,@TraderCobb @KennethBosak We are all Satoshi.,0,4,63598
6,1232270969173139457,2020-02-25 11:47:48,"This is exactly the kind of adoption we need in the #blockchain space, to also get #enterprise onboard. https://t.co/zvjYQ6k0y5",20,74,63598
7,1232078047140024322,2020-02-24 23:01:11,"Did you know there’s a connection between Satoshi and Pokémon? 

@KennethBosak https://t.co/6ciU395gnI",27,123,63598
8,1232016109748002816,2020-02-24 18:55:04,RT @SteveGoodCEO: thank you @brockpierce for all of your support and that of your team to help us make this book so amazing! Of course your…,2,0,63598
9,1231991390839693312,2020-02-24 17:16:51,"RT @NWSSanJuan: Feb 24 12:31 PM-A new daily rainfall record has been established in San Juan with 4.22""  so far and it's still raining. Old…",47,0,63598
10,1231221694645358592,2020-02-22 14:18:21,@edrodrigues1985 Keeps happening over and over again.,0,0,63598
11,1231221477636288517,2020-02-22 14:17:29,"RT @YCataldo: A huge thank you to @brockpierce for your inputs and amazing quote,  You’re encouragement and investment into #bitcoin and bl…",1,0,63598
12,1231221427896037377,2020-02-22 14:17:18,@CoinAgenda @dschatt @colinpape Look forward to seeing everyone in Puerto Rico next week.,0,2,63598
13,1231221374175399938,2020-02-22 14:17:05,"RT @CoinAgenda: Our fireside chats are always 🔥

#CoinAgenda Caribbean will feature one-on-one chats with @brockpierce, @dschatt and @colin…",9,0,63598
14,1231220915066875909,2020-02-22 14:15:15,@danheld @ErikVoorhees @rogerkver @gorillamania @melshapiro @adamludwin @niccary First Roundtable gathering. Thank… https://t.co/F7N67WxcRl,0,3,63598
15,1231220811840868352,2020-02-22 14:14:51,RT @danheld: Satoshi Roundtable Dronie!  @ErikVoorhees @rogerkver @brockpierce @gorillamania @melshapiro @adamludwin @niccary http://t.co/b…,36,0,63598
16,1231220561143042048,2020-02-22 14:13:51,@eyegasmmm @BrendanBlumer @bytemaster7 Awesome 🦄🎩🙏🏼,0,4,63598
17,1231220529555742720,2020-02-22 14:13:43,RT @eyegasmmm: Some new test previews for a potential limited edition chestahedron robe. What do you guys think ? @BrendanBlumer @brockpier…,2,0,63598
18,1230157277358850048,2020-02-19 15:48:44,"RT @zendealer: Big news from Germany! 

#Fintech ""Agora Innovation"" secures a seven-digit pre-series A investment from the FinLab #EOS VC F…",6,0,63598
